АБ,автоблокировка
АБ-Е2,АБ единый ряд, второе поколение
АБТ,АБ с тональными рельсовыми цепями
АБТЦ,АБ с тональными рельсовыми цепями и централизованным размещением
АЗ,заместитель А
АЗ-1,первый заместитель А
АИС ЭДВ,автоматизированная информационная система организации перевозок с
АКП,автоматические контрольные пункты
АЛС-ЕН,автоматическая локомотивная сигнализация единая непрерывная. В отличие от
АЛСК,Автоматическая Локомотивная Сигнализация Комбинированного съёма
АЛСН,Автоматическая Локомотивная Сигнализация Непрерывного действия
АЛСО,автоматическая локомотивная сигнализация, применяемая как
АЛСТ,Автоматическая Локомотивная Сигнализация Точечного съема информации
АЛСЧ,автоматическая локомотивная сигнализация частотного типа (или просто
АПК ДК,аппаратно-программный комплекс диспетчерского контроля
АРВ,автономные рефрижераторные вагоны
АРМ,автоматизированное рабочее место
АРМ ТВК,АРМ товарного кассира
АРС,Система Автоматического Регулирования Скорости
АСУ КП,автоматизированная система управления контейнерным пунктом
АСУ ГС,АСУ грузовой станцией
АСУ СС,АСУ сортировочной станцией
АТ,автоматика и телемеханика
АТС,автоматика, телемеханика, связь
АФТО,агентство фирменного транспортного обслуживания отделения дороги
АХУ,административно- хозяйственное управление МПС
БМРЦ,блочная маршрутно-релейная централизация стрелок и сигналов
БП,почтово-багажные вагоны
БП,Блок-Пост
ВНИИАС,Всероссийский научно-исследовательский и проектно-конструкторский
ВНИИЖГ,Всероссийский научно-исследовательский институт железнодорожной
ВНИИЖТ,Всероссийский научно-исследовательский институт железнодорожного
ВНИИТИ,Всероссийский научно-исследовательский институт тепловозов и путевых
ВНИИУП,Всероссийский научно-исследовательский институт управления МПС; в
ВНР,начальник рефрижераторной секции
ВОДЧ,дистанция водоснабжения и канализации
ВП,восстановительный поезд
ВПР,машина Выправочно-Подбивочно-Рихтовочная
ВПРС,машина Выправочно-Подбивочно-Рихтовочная Стрелочная
ВР,вагоны-рестораны
ВРЗ,вагоноремонтный завод
ВЦ,вычислительный центр управления дороги
ВЧ,вагонный участок, начальник вагонного участка
ВЧД,вагонное депо, начальник вагонного депо
ВЧДР,зам. начальника вагонного депо по ремонту
ВЧДЭ,зам. начальника вагонного депо по эксплуатации
ВЧГ,главный инженер вагонного участка
ВЧЗ,зам. начальника вагонного участка
ВЧЗр,зам. начальника вагонного участка по резерву проводников, начальник резерва
ВЧИ,инструктор производственного обучения
ВЧК,начальник отдела кадров вагонного участка
ВЧОС,осмотрщик вагонов
ВЧОР,осмотрщик-ремонтник вагонов
ВЧРз,зам. начальника резерва, старший нарядчик
ВЧЮ,юрист вагонного участка
ВЭ,вагоны-электростанции
ГАЛС,горочная автоматическая локомотивная сигнализация
ГАЦ,горочная автоматическая централизация
ГВЦ,главный вычислительный центр МПС РФ
ГИД,График исполненного движения
ГТСС,государственный институт по проектированию сигнализации, централизации, с
ГПЗУ,горочное программно-задающее устройство
ГУП ДКРМ,дирекция по комплексной реконструкции, капитальному ремонту и
ГУ КФЦ,кредитно-финансовый центр МПС
